Nom;latitude;longitude;Type;Description
Le Pub;46.77862;-71.269096;pub, restaurant;Pub moderne de l'Université Laval proposant bières, plats traditionnels et contemporains et spectacles.
Le fou alies;46.77863;-71.269094;pub;L'endroit parfait pour étudier, lire un bon bouquin, déguster un repas léger ou finir la journée en 5 à 7, c'est sans contredit le Café Fou Aeliés!
Saveur Campus ;46.77862;-71.269094;restaurant;Saveurs Campus reprend la gestion des concessions alimentaires du pavillon Desjardins-Pollack et offre un service banquet/traiteur.
3 Brasseurs;46.772946;-71.278776;restaurant, pub, microbrasserie;Les 3 Brasseurs est une entreprise de restauration française spécialisée dans la microbrasserie et qui fabrique sur place sa propre Bière du même nom.
La Cage aux Sports;46.770682;-71.282904;restaurant, bar;La Cage Brasserie Sportive est une brasserie sportive québécoise présente à la grandeur de la province avec plus de 50 établissements, lesquels accueillent chaque année plus de sept millions de consommateurs.
La Maison Simons;46.773202;-71.277464;magasin, vêtements;La Maison Simons, communément désigné Simons, est une entreprise québécoise de vêtements et d'articles de décoration pour la maison.
Provigo;46.788697;-71.269717;magasin, épicerie;Provigo est une entreprise d'origine québécoise fondée en 1969 et spécialisée dans les produits alimentaires, qui exploite une chaîne de magasins au détail et d'entrepôts de distribution.
Café Au Temps Perdu;46.787442;-71.268376;restaurant, café;Bistro français chaleureux avec terrasse proposant une variété d'en-cas, des cafés et des bières importées.
Atomik Tattoo;46.788063;-71.269255;magasin, tatoueur;C’est dans un environnement propre, agréable et spacieux que nos professionnels du tatouage et du perçage exercent leur art et leur savoir faire, afin de vous procurer l’expérience la plus agréable et sécuritaire qui soit.
Thaï zone;46.786332;-71.281991;restaurant,fastfood;Sur place ou pour emporter, en ligne et en livraison, tous nos restaurants Thaïzone proposent une immense variété de plats thaïlandais.
Shaker Cuisine & Mixologie;46.78692;-71.282667;restaurant;SHAKER Cuisine & Mixologie se présente comme la seule chaîne de restaurants-bars spécialisée en cocktails, tartares et burgers gourmets.
Le Jardin Mobile;46.783127;-71.287844;magasin, épicerie;Au Jardin Mobile des Halles Sainte-Foy, vous trouverez : légumes et fruits frais, conventionnels ou biologiques, selon les arrivages saisonniers.
McDonald's;46.782682;-71.287060;restaurant,fastfood;McDonald's Corporation est une chaîne de restauration rapide américaine présente dans le monde entier, fondée par l'homme d'affaires Ray Kroc en 1952 après qu'il eut acheté les droits à une petite chaîne de hamburger exploitée à partir de 1940 par Richard et Maurice McDonald.
